"loc_sex"
"ARM_1"
"AZE_1"
"GEO_1"
"KAZ_1"
"KGZ_1"
"MNG_1"
"TJK_1"
"TKM_1"
"UZB_1"
"ALB_1"
"BIH_1"
"BGR_1"
"HRV_1"
"CZE_1"
"HUN_1"
"MKD_1"
"MNE_1"
"POL_1"
"ROU_1"
"SRB_1"
"SVK_1"
"SVN_1"
"BLR_1"
"EST_1"
"LVA_1"
"LTU_1"
"MDA_1"
"RUS_1"
"UKR_1"
"AUS_1"
"NZL_1"
"BRN_1"
"JPN_1"
"KOR_1"
"SGP_1"
"CAN_1"
"GRL_1"
"USA_1"
"ARG_1"
"CHL_1"
"URY_1"
"AND_1"
"AUT_1"
"BEL_1"
"CYP_1"
"DNK_1"
"FIN_1"
"FRA_1"
"DEU_1"
"GRC_1"
"ISL_1"
"IRL_1"
"ISR_1"
"ITA_1"
"LUX_1"
"MLT_1"
"NLD_1"
"NOR_1"
"PRT_1"
"MCO_1"
"ESP_1"
"SWE_1"
"CHE_1"
"SMR_1"
"GBR_1"
"BOL_1"
"ECU_1"
"PER_1"
"ATG_1"
"BHS_1"
"BRB_1"
"BLZ_1"
"BMU_1"
"CUB_1"
"DMA_1"
"DOM_1"
"GRD_1"
"GUY_1"
"HTI_1"
"JAM_1"
"PRI_1"
"KNA_1"
"LCA_1"
"VCT_1"
"SUR_1"
"TTO_1"
"VIR_1"
"COL_1"
"CRI_1"
"SLV_1"
"GTM_1"
"HND_1"
"MEX_1"
"NIC_1"
"PAN_1"
"VEN_1"
"BRA_1"
"PRY_1"
"AFG_1"
"DZA_1"
"BHR_1"
"EGY_1"
"IRN_1"
"IRQ_1"
"JOR_1"
"KWT_1"
"LBN_1"
"LBY_1"
"MAR_1"
"PSE_1"
"OMN_1"
"QAT_1"
"SAU_1"
"SDN_1"
"SYR_1"
"TUN_1"
"TUR_1"
"ARE_1"
"YEM_1"
"BGD_1"
"BTN_1"
"IND_1"
"NPL_1"
"PAK_1"
"CHN_1"
"PRK_1"
"TWN_1"
"ASM_1"
"COK_1"
"FSM_1"
"FJI_1"
"GUM_1"
"KIR_1"
"MHL_1"
